ID;Stream;Title;Year;Venue;Task or system;Evidence status;Local PDF;Canonical link;Use in this project
D01;dataset;PhysioBank PhysioToolkit and PhysioNet components of a new research resource for complex physiologic signals;2000;Circulation;Dataset infrastructure;local_primary;../papers_chbmit/10_goldberger_2000_physionet_resource.pdf;https://doi.org/10.1161/01.CIR.101.23.e215;Cite the dataset infrastructure
D02;dataset;Application of Machine Learning to Epileptic Seizure Detection;2010;ICML;CHB-MIT detection baseline;local_primary;../papers_chbmit/12_shoeb_guttag_2010_ml_seizure_detection_icml.pdf;https://physionet.org/files/chbmit/1.0.0/shoeb-icml-2010.pdf;Cite the original CHB-MIT detection task
D03;methodology;Epileptic seizure detection using CHB-MIT dataset the overlooked perspectives;2024;Royal Society Open Science;Continuous event detection and cross-subject evaluation;local_primary;../papers_chbmit/13_ali_2024_chbmit_overlooked_perspectives.pdf;https://doi.org/10.1098/rsos.230601;Primary protocol and caveat source
D04;review;Automated Epileptic Seizure Detection in Pediatric Subjects of CHB-MIT EEG Database;2021;Journal of Personalized Medicine;CHB-MIT pediatric literature survey;local_primary;../papers_chbmit/15_ozkurt_2021_chbmit_pediatric_survey.pdf;https://pmc.ncbi.nlm.nih.gov/articles/PMC8537151/;Literature map not a numerical comparator
D05;review;A review of epilepsy detection and prediction methods based on EEG signal processing and deep learning;2024;Frontiers in Neuroscience;EEG deep-learning landscape;local_primary;../papers_chbmit/14_zhang_2024_review_eeg_processing_deep_learning.pdf;https://doi.org/10.3389/fnins.2024.1468967;Background and terminology
D06;review;Artificial intelligence in wearable seizure detection devices;2026;Frontiers in Neurology;Wearable monitoring and deployment context;local_primary;../papers_chbmit/26_biondi_2026_ai_wearable_seizure_detection_devices.pdf;https://doi.org/10.3389/fneur.2026.1756895;Wearable motivation not a performance comparator
A01;algorithm;Epilepsy Seizure Prediction on EEG Using Common Spatial Pattern and Convolutional Neural Network;2020;IEEE JBHI;Prediction with CSP and CNN;local_primary;../papers_chbmit/01_zhang_2020_csp_cnn_seizure_prediction.pdf;https://doi.org/10.1109/JBHI.2019.2933046;Prediction only and spatial-feature trade-off
A02;algorithm;Single-channel seizure detection with clinical confirmation of seizure locations using CHB-MIT dataset;2024;Frontiers in Neurology;Detection with clinical channel selection;local_primary;../papers_chbmit/02_chung_2024_single_channel_chbmit_detection.pdf;https://doi.org/10.3389/fneur.2024.1389731;Event metrics and channel-reduction context
A03;algorithm;Semi-supervised Seizure Prediction with Generative Adversarial Networks;2019;EMBC;Prediction with STFT and GAN representation learning;local_primary;../papers_chbmit/04_truong_2018_semisupervised_gan_prediction.pdf;https://arxiv.org/abs/1806.08235;Offline augmentation concept only
A04;algorithm;Epileptic seizure detection from EEG signals based on 1D CNN-LSTM deep learning model using DWT;2025;Scientific Reports;DWT plus CNN-LSTM detection;local_primary;../papers_chbmit/05_kashefi_2025_dwt_1dcnn_lstm_detection.pdf;https://doi.org/10.1038/s41598-025-18479-9;Feature-heavy accuracy comparator
A05;algorithm;A scheme combining feature fusion and hybrid deep learning models for epileptic seizure detection and prediction;2025;BMC Medical Informatics and Decision Making;DWT features plus CNN-Bi-LSTM;local_primary;../papers_chbmit/06_cao_2025_feature_fusion_cnn_bilstm_detection.pdf;https://doi.org/10.1186/s12911-024-02845-0;Feature-heavy accuracy comparator
A06;algorithm;Epileptic disorder detection of seizures using EEG signals;2022;Sensors;CNN Bi-LSTM and attention;local_primary;../papers_chbmit/07_alharthi_2022_epileptic_disorder_detection.pdf;https://doi.org/10.3390/s22176592;Mixed-corpus comparator only
