candidate,fold,seed,artifact,parameter_count,window_balanced_accuracy,window_auroc,calibration_policy,calibration_threshold,calibration_far_per_hour,temporal_event_sensitivity,temporal_far_per_hour,temporal_detected_events,temporal_total_events,temporal_median_delay_sec
C1,00,7,v22_f00_c1_msres57k_s7,57446,0.8482056256062076,0.9119327990396637,8_of_16,0.9720000000000001,0.4955826740410233,0.5652173913043478,2.4126389924337355,13,23,15.0
C1,00,42,v22_f00_c1_msres57k_s42,57446,0.8195926285160039,0.8947788300793725,7_of_14,0.9950000000000001,0.4737187325392134,0.391304347826087,1.763082340624653,9,23,28.0
C1,00,123,v22_f00_c1_msres57k_s123,57446,0.8433559650824443,0.910659469162086,7_of_14,0.9750000000000001,0.4737187325392134,0.6956521739130435,3.6260964738353185,16,23,18.0
C1,00,314,v22_f00_c1_msres57k_s314,57446,0.8355965082444229,0.8968428757028715,6_of_12,0.9900000000000001,0.4737187325392134,0.6521739130434783,3.0978855701663943,15,23,16.0
C1,00,2718,v22_f00_c1_msres57k_s2718,57446,0.8317167798254121,0.9055882577065386,9_of_18,0.9930000000000001,0.4737187325392134,0.5217391304347826,2.3412591405865837,12,23,29.0
C1,01,7,v22_f01_c1_msres57k_s7,57446,0.8949550794747754,0.9450396382860138,10_of_20,0.9900000000000001,0.49252097774534837,0.5588235294117647,0.08046866903602193,19,34,25.0
C1,01,42,v22_f01_c1_msres57k_s42,57446,0.9039391845196959,0.9556523541545576,5_of_10,0.9920000000000001,0.42114112589819647,0.7058823529411765,0.3877126780826511,24,34,12.5
C1,01,123,v22_f01_c1_msres57k_s123,57446,0.8800967519004838,0.9405005423130763,9_of_18,0.9930000000000001,0.4711070221912028,0.6470588235294118,0.3218746761440877,22,34,23.0
C1,01,314,v22_f01_c1_msres57k_s314,57446,0.8935729094678646,0.9502559689064284,4_of_8,0.9990000000000001,0.49965896293006357,0.5588235294117647,0.12436067032839752,19,34,15.0
C1,01,2718,v22_f01_c1_msres57k_s2718,57446,0.8472702142363511,0.9168245527648415,6_of_12,0.9680000000000001,0.49965896293006357,0.7647058823529411,0.48281201421613157,26,34,13.0
C1,02,7,v22_f02_c1_msres57k_s7,57446,0.8510411105178857,0.9331675089485021,4_of_8,0.9940000000000001,0.4316046793750267,0.782608695652174,0.7496741200239478,18,23,11.0
C1,02,42,v22_f02_c1_msres57k_s42,57446,0.885477843032568,0.9436986211168403,7_of_14,0.9790000000000001,0.4023433451801096,0.8260869565217391,0.9875514850315467,19,23,13.0
C1,02,123,v22_f02_c1_msres57k_s123,57446,0.8814735718099306,0.9287137103567171,4_of_8,0.9940000000000001,0.46818134711867304,0.8260869565217391,0.8505917900271716,19,23,10.0
C1,02,314,v22_f02_c1_msres57k_s314,57446,0.8670581954084358,0.945432878893564,7_of_14,0.9410000000000001,0.40965867872883893,0.7391304347826086,1.0163851050324677,17,23,11.0
C1,02,2718,v22_f02_c1_msres57k_s2718,57446,0.8593166043780032,0.9287296732816839,9_of_18,0.9880000000000001,0.49012734776486083,0.5652173913043478,0.8938422200285532,13,23,22.0
H2,00,7,v24_f00_h2_scorehn57k_s7,57446,0.8336566440349176,0.9013618561734626,5_of_10,0.9390000000000001,0.4664307520386101,0.7391304347826086,0.5496248592230699,17,23,17.0
H2,00,42,v24_f00_h2_scorehn57k_s42,57446,0.8220174587778856,0.90106598454694,3_of_6,0.9670000000000001,0.3935509470325773,0.7391304347826086,0.39972717034405086,17,23,13.0
H2,00,123,v24_f00_h2_scorehn57k_s123,57446,0.8064985451018429,0.8839764582143654,4_of_8,0.921,0.437278830036197,0.8260869565217391,2.048601748013261,19,23,18.0
