candidate,fold,seed,artifact,manifest_status,calibration_score_present,temporal_score_present,sidecar_status,replay_ready
C1,00,7,v22_f00_c1_msres57k_s7,verified,True,True,verified,True
C1,00,42,v22_f00_c1_msres57k_s42,verified,True,True,verified,True
C1,00,123,v22_f00_c1_msres57k_s123,verified,True,True,verified,True
C1,00,314,v22_f00_c1_msres57k_s314,verified,True,True,verified,True
C1,00,2718,v22_f00_c1_msres57k_s2718,verified,True,True,verified,True
C1,01,7,v22_f01_c1_msres57k_s7,verified,True,True,verified,True
C1,01,42,v22_f01_c1_msres57k_s42,verified,True,True,verified,True
C1,01,123,v22_f01_c1_msres57k_s123,verified,True,True,verified,True
C1,01,314,v22_f01_c1_msres57k_s314,verified,True,True,verified,True
C1,01,2718,v22_f01_c1_msres57k_s2718,verified,True,True,verified,True
C1,02,7,v22_f02_c1_msres57k_s7,verified,True,True,verified,True
C1,02,42,v22_f02_c1_msres57k_s42,verified,True,True,verified,True
C1,02,123,v22_f02_c1_msres57k_s123,verified,True,True,verified,True
C1,02,314,v22_f02_c1_msres57k_s314,verified,True,True,verified,True
C1,02,2718,v22_f02_c1_msres57k_s2718,verified,True,True,verified,True
H2,00,7,v24_f00_h2_scorehn57k_s7,verified,True,True,verified,True
H2,00,42,v24_f00_h2_scorehn57k_s42,verified,True,True,verified,True
H2,00,123,v24_f00_h2_scorehn57k_s123,verified,True,True,verified,True
H2,00,314,v24_f00_h2_scorehn57k_s314,verified,True,True,verified,True
H2,00,2718,v24_f00_h2_scorehn57k_s2718,verified,True,True,verified,True
H2,01,7,v24_f01_h2_scorehn57k_s7,verified,True,True,verified,True
H2,01,42,v24_f01_h2_scorehn57k_s42,verified,True,True,verified,True
H2,01,123,v24_f01_h2_scorehn57k_s123,verified,True,True,verified,True
H2,01,314,v24_f01_h2_scorehn57k_s314,verified,True,True,verified,True
H2,01,2718,v24_f01_h2_scorehn57k_s2718,verified,True,True,verified,True
H2,02,7,v24_f02_h2_scorehn57k_s7,verified,True,True,verified,True
H2,02,42,v24_f02_h2_scorehn57k_s42,verified,True,True,verified,True
H2,02,123,v24_f02_h2_scorehn57k_s123,verified,True,True,verified,True
H2,02,314,v24_f02_h2_scorehn57k_s314,verified,True,True,verified,True
H2,02,2718,v24_f02_h2_scorehn57k_s2718,verified,True,True,verified,True
G1,00,7,v25_f00_g1_groupdro57k_s7,verified,True,True,verified,True
G1,00,42,v25_f00_g1_groupdro57k_s42,verified,True,True,verified,True
G1,00,123,v25_f00_g1_groupdro57k_s123,verified,True,True,verified,True
G1,00,314,v25_f00_g1_groupdro57k_s314,verified,True,True,verified,True
G1,00,2718,v25_f00_g1_groupdro57k_s2718,verified,True,True,verified,True
G1,01,7,v25_f01_g1_groupdro57k_s7,verified,True,True,verified,True
G1,01,42,v25_f01_g1_groupdro57k_s42,verified,True,True,verified,True
G1,01,123,v25_f01_g1_groupdro57k_s123,verified,True,True,verified,True
G1,01,314,v25_f01_g1_groupdro57k_s314,verified,True,True,verified,True
G1,01,2718,v25_f01_g1_groupdro57k_s2718,verified,True,True,verified,True
G1,02,7,v25_f02_g1_groupdro57k_s7,verified,True,True,verified,True
G1,02,42,v25_f02_g1_groupdro57k_s42,verified,True,True,verified,True
G1,02,123,v25_f02_g1_groupdro57k_s123,verified,True,True,verified,True
G1,02,314,v25_f02_g1_groupdro57k_s314,verified,True,True,verified,True
G1,02,2718,v25_f02_g1_groupdro57k_s2718,verified,True,True,verified,True
