candidate,fold,seed,artifact,score_source,selected_policy,selected_threshold,selected_temporal_sensitivity,selected_temporal_far_per_hour,oracle_target_feasible,oracle_policy,oracle_threshold,oracle_temporal_sensitivity,oracle_temporal_far_per_hour,minimum_far_policy,minimum_far_threshold,minimum_temporal_far_per_hour,oracle_sweep_runtime_sec
C1,00,7,v22_f00_c1_msres57k_s7,verified_existing_run_scores,8_of_16,0.9720000000000001,0.5652173913043478,2.4126389924337355,False,,,,,10_of_20,0.9990000000000001,0.7494884443950953,312.469
C1,00,42,v22_f00_c1_msres57k_s42,verified_existing_run_scores,7_of_14,0.9950000000000001,0.391304347826087,1.763082340624653,False,,,,,10_of_20,0.9990000000000001,0.8779721777199688,313.096
C1,00,123,v22_f00_c1_msres57k_s123,verified_existing_run_scores,7_of_14,0.9750000000000001,0.6956521739130435,3.6260964738353185,False,,,,,10_of_20,0.9990000000000001,1.4061830813888931,313.058
C1,00,314,v22_f00_c1_msres57k_s314,verified_existing_run_scores,6_of_12,0.9900000000000001,0.6521739130434783,3.0978855701663943,False,,,,,10_of_20,0.9990000000000001,1.2348714369557285,313.687
C1,00,2718,v22_f00_c1_msres57k_s2718,verified_existing_run_scores,9_of_18,0.9930000000000001,0.5217391304347826,2.3412591405865837,False,,,,,10_of_20,0.9990000000000001,1.5917706961914884,313.288
C1,01,7,v22_f01_c1_msres57k_s7,verified_existing_run_scores,10_of_20,0.9900000000000001,0.5588235294117647,0.08046866903602193,True,3_of_6,0.9950000000000001,0.7647058823529411,0.48281201421613157,8_of_16,0.9980000000000001,0.014630667097458533,305.289
C1,01,42,v22_f01_c1_msres57k_s42,verified_existing_run_scores,5_of_10,0.9920000000000001,0.7058823529411765,0.3877126780826511,True,4_of_8,0.9940000000000001,0.7058823529411765,0.4023433451801096,8_of_16,0.9990000000000001,0.0,305.603
C1,01,123,v22_f01_c1_msres57k_s123,verified_existing_run_scores,9_of_18,0.9930000000000001,0.6470588235294118,0.3218746761440877,True,8_of_16,0.9910000000000001,0.7352941176470589,0.4535506800212145,10_of_20,0.9990000000000001,0.05852266838983413,305.873
C1,01,314,v22_f01_c1_msres57k_s314,verified_existing_run_scores,4_of_8,0.9990000000000001,0.5588235294117647,0.12436067032839752,True,9_of_18,0.9780000000000001,0.7352941176470589,0.42428934582629746,9_of_18,0.9990000000000001,0.021946000646187798,305.552
C1,01,2718,v22_f01_c1_msres57k_s2718,verified_existing_run_scores,6_of_12,0.9680000000000001,0.7647058823529411,0.48281201421613157,True,6_of_12,0.9680000000000001,0.7647058823529411,0.48281201421613157,9_of_18,0.9980000000000001,0.0,304.602
